frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
0,1003.901287,482.099485,1006.048384,482.763413,1005.667908,482.428846,1039.007655,477.328553,1087.359826,498.916785,NaN,NaN,NaN,NaN,71.663739,614.26091,1737.748579,602.316628,1005.20586,482.4305813,1087.359826,498.916785,1039.007655,477.328553,,-82.15396633,-16.48620367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0
1,1001.385875,481.824442,1003.354712,482.520453,1003.11422,482.654917,1036.476929,478.765865,1085.056815,498.842472,NaN,NaN,NaN,NaN,0,0,0,0,1002.618269,482.3332707,1085.056815,498.842472,1036.476929,478.765865,,-82.438546,-16.50920133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.008333333
2,999.051783,481.926497,1001.086357,482.377535,1000.851608,482.521769,1033.879509,479.944151,1082.900027,498.582377,NaN,NaN,NaN,NaN,0,0,0,0,1000.329916,482.275267,1082.900027,498.582377,1033.879509,479.944151,,-82.570111,-16.30711,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.016666667
3,996.323989,481.722386,998.471447,482.377535,999.126244,482.534483,1031.430512,481.156102,1081.108797,498.582377,NaN,NaN,NaN,NaN,0,0,0,0,997.9738933,482.211468,1081.108797,498.582377,1031.430512,481.156102,,-83.13490367,-16.370909,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.025
4,994.018019,481.569302,996.06132,481.948781,996.361149,481.910559,1028.38782,482.300722,1078.915454,498.65669,NaN,NaN,NaN,NaN,0,0,0,0,995.4801627,481.8095473,1078.915454,498.65669,1028.38782,482.300722,,-83.43529133,-16.84714267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.033333333
5,991.683928,481.288648,993.813224,481.64939,994.240766,481.858565,1025.308021,483.479008,1077.23389,498.433751,NaN,NaN,NaN,NaN,0,0,0,0,993.2459727,481.5988677,1077.23389,498.433751,1025.308021,483.479008,,-83.98791733,-16.83488333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041666667
6,989.434201,480.829397,991.558871,481.001495,991.733556,481.40362,1023.192979,484.657294,1074.967436,497.839247,NaN,NaN,NaN,NaN,0,0,0,0,990.908876,481.0781707,1074.967436,497.839247,1023.192979,484.657294,,-84.05856,-16.76107633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05
7,987.128231,479.936407,989.402533,480.823641,989.598846,481.130653,1021.560314,486.407889,1072.371979,497.839247,NaN,NaN,NaN,NaN,0,0,0,0,988.70987,480.6302337,1072.371979,497.839247,1021.560314,486.407889,,-83.662109,-17.20901333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.058333333
8,985.131598,479.24753,987.008158,480.08682,987.091637,480.376744,1018.962894,487.889163,1070.873195,497.764934,1060.68402,480.226376,NaN,NaN,0,0,0,0,986.4104643,479.903698,1070.873195,497.764934,1018.962894,487.889163,,-84.46273067,-17.861236,#VALUE!,#VALUE!,-41.721126,7.662787,#VALUE!,22.34770256,0.066666667
9,982.825628,478.941362,984.515767,479.820039,985.028561,479.869805,1013.916477,489.20211,1068.168071,496.873178,NaN,NaN,NaN,NaN,0,0,0,0,984.1233187,479.5437353,1068.168071,496.873178,1013.916477,489.20211,,-84.04475233,-17.32944267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.075
